InvoiceNo,StockCode,ProductName,Category,Quantity,UnitPrice,TotalSales,InvoiceDate,CustomerID,CustomerName,Country,PaymentMethod
INV100042,P002,Keyboard,Electronics,3,25.5,76.5,2025-11-01 02:43:00,1017,Customer_1017,USA,PayPal
INV100043,P002,Keyboard,Electronics,10,25.5,255.0,2025-10-24 19:02:00,1063,Customer_1063,Australia,Credit Card
INV100044,P007,Monitor,Electronics,10,150.0,1500.0,2025-09-25 10:59:00,1144,Customer_1144,UK,Debit Card
INV100045,P006,Webcam,Electronics,4,55.0,220.0,2025-07-22 04:42:00,1067,Customer_1067,Germany,UPI
INV100046,P008,Power Bank,Accessories,6,29.99,179.94,2025-02-07 00:29:00,1192,Customer_1192,Australia,Net Banking
INV100047,P002,Keyboard,Electronics,2,25.5,51.0,2025-04-20 16:16:00,1137,Customer_1137,USA,UPI
INV100048,P002,Keyboard,Electronics,4,25.5,102.0,2025-05-26 05:28:00,1094,Customer_1094,Australia,UPI
INV100049,P010,Desk Lamp,Home,9,22.5,202.5,2025-12-08 17:19:00,1002,Customer_1002,Germany,Credit Card
INV100050,P003,USB Cable,Accessories,5,5.99,29.95,2025-02-24 23:35:00,1029,Customer_1029,USA,UPI
INV100051,P005,Headphones,Electronics,10,45.99,459.9,2025-06-25 06:43:00,1053,Customer_1053,Germany,UPI
INV100052,P009,Bluetooth Speaker,Electronics,8,39.99,319.92,2025-01-27 02:40:00,1064,Customer_1064,Canada,UPI
INV100053,P001,Wireless Mouse,Electronics,1,15.99,15.99,2025-03-08 20:16:00,1085,Customer_1085,USA,PayPal
INV100054,P009,Bluetooth Speaker,Electronics,7,39.99,279.93,2025-01-05 03:04:00,1143,Customer_1143,Germany,Debit Card
INV100055,P009,Bluetooth Speaker,Electronics,1,39.99,39.99,2025-10-26 17:09:00,1094,Customer_1094,Canada,Debit Card
INV100056,P001,Wireless Mouse,Electronics,5,15.99,79.95,2025-01-21 11:13:00,1093,Customer_1093,Germany,Debit Card
INV100057,P002,Keyboard,Electronics,6,25.5,153.0,2025-10-14 13:39:00,1199,Customer_1199,Germany,Debit Card
INV100058,P004,Laptop Stand,Accessories,3,35.0,105.0,2025-07-31 00:11:00,1045,Customer_1045,Germany,UPI
INV100059,P007,Monitor,Electronics,4,150.0,600.0,2025-03-23 22:06:00,1068,Customer_1068,Canada,Credit Card
INV100060,P008,Power Bank,Accessories,4,29.99,119.96,2025-08-24 11:19:00,1051,Customer_1051,USA,Debit Card
INV100061,P001,Wireless Mouse,Electronics,4,15.99,63.96,2025-06-18 08:55:00,1102,Customer_1102,India,UPI
INV100062,P006,Webcam,Electronics,9,55.0,495.0,2025-12-14 17:21:00,1102,Customer_1102,India,Credit Card
INV100063,P005,Headphones,Electronics,3,45.99,137.97,2025-05-16 01:06:00,1148,Customer_1148,Australia,PayPal
INV100064,P006,Webcam,Electronics,6,55.0,330.0,2025-11-07 16:07:00,1111,Customer_1111,Canada,Net Banking
INV100065,P004,Laptop Stand,Accessories,5,35.0,175.0,2025-12-29 13:00:00,1011,Customer_1011,Australia,Net Banking
INV100066,P004,Laptop Stand,Accessories,6,35.0,210.0,2025-02-05 21:58:00,1110,Customer_1110,UK,Net Banking
INV100067,P006,Webcam,Electronics,2,55.0,110.0,2025-06-03 16:19:00,1184,Customer_1184,Germany,PayPal
INV100068,P006,Webcam,Electronics,7,55.0,385.0,2025-06-01 17:08:00,1178,Customer_1178,USA,PayPal
INV100069,P007,Monitor,Electronics,3,150.0,450.0,2025-10-19 09:25:00,1157,Customer_1157,Australia,Credit Card
INV100070,P005,Headphones,Electronics,5,45.99,229.95,2025-08-09 18:38:00,1053,Customer_1053,Germany,UPI
INV100071,P008,Power Bank,Accessories,8,29.99,239.92,2025-12-12 06:32:00,1113,Customer_1113,Canada,Debit Card
INV100072,P002,Keyboard,Electronics,5,25.5,127.5,2025-12-06 20:39:00,1131,Customer_1131,UK,Credit Card
INV100073,P004,Laptop Stand,Accessories,5,35.0,175.0,2025-04-12 04:01:00,1057,Customer_1057,India,Debit Card
INV100074,P008,Power Bank,Accessories,10,29.99,299.9,2025-02-07 14:26:00,1196,Customer_1196,Germany,Net Banking
INV100075,P004,Laptop Stand,Accessories,7,35.0,245.0,2025-07-24 07:09:00,1126,Customer_1126,Germany,Credit Card
INV100076,P002,Keyboard,Electronics,7,25.5,178.5,2025-04-01 22:33:00,1056,Customer_1056,Canada,Credit Card
INV100077,P009,Bluetooth Speaker,Electronics,4,39.99,159.96,2025-08-22 04:51:00,1031,Customer_1031,Canada,Net Banking
INV100078,P009,Bluetooth Speaker,Electronics,10,39.99,399.9,2025-08-15 19:52:00,1081,Customer_1081,Germany,Net Banking
INV100079,P007,Monitor,Electronics,9,150.0,1350.0,2025-03-23 23:55:00,1114,Customer_1114,Canada,PayPal
INV100080,P005,Headphones,Electronics,4,45.99,183.96,2025-05-22 16:31:00,1163,Customer_1163,Germany,Debit Card
INV100081,P005,Headphones,Electronics,8,45.99,367.92,2025-05-27 07:17:00,1019,Customer_1019,UK,UPI
INV100082,P009,Bluetooth Speaker,Electronics,2,39.99,79.98,2025-03-19 07:24:00,1035,Customer_1035,Germany,Debit Card
INV100083,P004,Laptop Stand,Accessories,2,35.0,70.0,2025-07-28 10:34:00,1106,Customer_1106,Canada,PayPal
INV100084,P001,Wireless Mouse,Electronics,4,15.99,63.96,2025-07-19 18:44:00,1107,Customer_1107,India,Net Banking
INV100085,P007,Monitor,Electronics,8,150.0,1200.0,2025-06-30 09:48:00,1001,Customer_1001,Canada,PayPal
INV100086,P009,Bluetooth Speaker,Electronics,9,39.99,359.91,2025-04-23 15:14:00,1154,Customer_1154,UK,PayPal
INV100087,P008,Power Bank,Accessories,1,29.99,29.99,2025-06-22 21:43:00,1099,Customer_1099,Canada,Debit Card
INV100088,P008,Power Bank,Accessories,3,29.99,89.97,2025-10-01 00:58:00,1159,Customer_1159,Canada,Net Banking
INV100089,P010,Desk Lamp,Home,1,22.5,22.5,2025-11-26 13:08:00,1021,Customer_1021,Canada,Debit Card
INV100090,P001,Wireless Mouse,Electronics,5,15.99,79.95,2025-06-17 06:29:00,1097,Customer_1097,UK,UPI
INV100091,P007,Monitor,Electronics,5,150.0,750.0,2025-08-04 08:53:00,1192,Customer_1192,India,PayPal
INV100092,P001,Wireless Mouse,Electronics,9,15.99,143.91,2025-06-29 07:41:00,1013,Customer_1013,India,Credit Card
INV100093,P001,Wireless Mouse,Electronics,4,15.99,63.96,2025-01-11 19:09:00,1051,Customer_1051,USA,Debit Card
INV100094,P008,Power Bank,Accessories,2,29.99,59.98,2025-04-22 14:44:00,1144,Customer_1144,UK,UPI
INV100095,P003,USB Cable,Accessories,10,5.99,59.9,2025-02-28 05:19:00,1155,Customer_1155,India,Net Banking
INV100096,P001,Wireless Mouse,Electronics,5,15.99,79.95,2025-12-13 12:25:00,1147,Customer_1147,Germany,Debit Card
INV100097,P002,Keyboard,Electronics,10,25.5,255.0,2025-11-18 07:06:00,1176,Customer_1176,Germany,UPI
INV100098,P010,Desk Lamp,Home,2,22.5,45.0,2025-01-22 11:34:00,1144,Customer_1144,Canada,UPI
INV100099,P002,Keyboard,Electronics,9,25.5,229.5,2025-06-24 00:54:00,1165,Customer_1165,Canada,PayPal
INV100100,P002,Keyboard,Electronics,7,25.5,178.5,2025-11-22 14:45:00,1092,Customer_1092,USA,PayPal
INV100101,P003,USB Cable,Accessories,9,5.99,53.91,2025-05-19 19:51:00,1166,Customer_1166,Australia,PayPal
INV100102,P008,Power Bank,Accessories,7,29.99,209.93,2025-10-31 08:20:00,1187,Customer_1187,USA,Credit Card
INV100103,P005,Headphones,Electronics,8,45.99,367.92,2025-08-26 18:39:00,1062,Customer_1062,Germany,PayPal
INV100104,P006,Webcam,Electronics,1,55.0,55.0,2025-06-16 05:31:00,1126,Customer_1126,USA,UPI
INV100105,P005,Headphones,Electronics,6,45.99,275.94,2025-11-02 22:56:00,1071,Customer_1071,UK,Net Banking
INV100106,P001,Wireless Mouse,Electronics,9,15.99,143.91,2025-02-13 07:46:00,1048,Customer_1048,Canada,PayPal
INV100107,P009,Bluetooth Speaker,Electronics,4,39.99,159.96,2025-09-01 20:45:00,1176,Customer_1176,Canada,PayPal
INV100108,P001,Wireless Mouse,Electronics,2,15.99,31.98,2025-04-24 12:44:00,1075,Customer_1075,USA,UPI
INV100109,P010,Desk Lamp,Home,6,22.5,135.0,2025-10-11 16:22:00,1121,Customer_1121,Canada,Net Banking
INV100110,P006,Webcam,Electronics,6,55.0,330.0,2025-08-21 08:19:00,1179,Customer_1179,UK,Debit Card
INV100111,P002,Keyboard,Electronics,4,25.5,102.0,2025-03-03 23:34:00,1080,Customer_1080,Germany,Debit Card
INV100112,P004,Laptop Stand,Accessories,4,35.0,140.0,2025-09-05 08:46:00,1189,Customer_1189,Australia,Net Banking
INV100113,P010,Desk Lamp,Home,5,22.5,112.5,2025-04-10 09:14:00,1025,Customer_1025,UK,Debit Card
INV100114,P005,Headphones,Electronics,1,45.99,45.99,2025-10-01 04:17:00,1181,Customer_1181,India,Credit Card
INV100115,P009,Bluetooth Speaker,Electronics,5,39.99,199.95,2025-03-06 20:55:00,1178,Customer_1178,Canada,Credit Card
INV100116,P001,Wireless Mouse,Electronics,10,15.99,159.9,2025-08-29 15:28:00,1072,Customer_1072,UK,Debit Card
INV100117,P001,Wireless Mouse,Electronics,5,15.99,79.95,2025-02-28 02:25:00,1122,Customer_1122,Canada,Credit Card
INV100118,P010,Desk Lamp,Home,1,22.5,22.5,2025-03-18 18:19:00,1038,Customer_1038,India,Debit Card
INV100119,P002,Keyboard,Electronics,9,25.5,229.5,2025-08-02 19:38:00,1195,Customer_1195,Australia,Debit Card
INV100120,P009,Bluetooth Speaker,Electronics,7,39.99,279.93,2025-08-15 09:55:00,1115,Customer_1115,Australia,PayPal
INV100121,P005,Headphones,Electronics,10,45.99,459.9,2025-01-31 19:47:00,1158,Customer_1158,India,Debit Card
INV100122,P004,Laptop Stand,Accessories,5,35.0,175.0,2025-02-11 05:15:00,1169,Customer_1169,USA,Net Banking
INV100123,P002,Keyboard,Electronics,3,25.5,76.5,2025-07-29 14:44:00,1000,Customer_1000,Australia,PayPal
INV100124,P005,Headphones,Electronics,1,45.99,45.99,2025-05-28 22:18:00,1059,Customer_1059,Germany,PayPal
INV100125,P002,Keyboard,Electronics,4,25.5,102.0,2025-11-17 18:42:00,1067,Customer_1067,USA,PayPal
INV100126,P002,Keyboard,Electronics,9,25.5,229.5,2025-11-28 04:58:00,1057,Customer_1057,UK,Debit Card
INV100127,P002,Keyboard,Electronics,1,25.5,25.5,2025-06-07 19:47:00,1042,Customer_1042,Australia,UPI
INV100128,P008,Power Bank,Accessories,2,29.99,59.98,2025-12-19 09:44:00,1119,Customer_1119,Canada,UPI
INV100129,P009,Bluetooth Speaker,Electronics,9,39.99,359.91,2025-08-13 02:38:00,1126,Customer_1126,India,PayPal
INV100130,P006,Webcam,Electronics,10,55.0,550.0,2025-01-14 02:14:00,1064,Customer_1064,Germany,Net Banking
INV100131,P010,Desk Lamp,Home,1,22.5,22.5,2025-12-11 08:36:00,1195,Customer_1195,India,Debit Card
INV100132,P008,Power Bank,Accessories,9,29.99,269.91,2025-08-15 08:11:00,1166,Customer_1166,Australia,PayPal
INV100133,P008,Power Bank,Accessories,2,29.99,59.98,2025-06-28 13:21:00,1120,Customer_1120,UK,Credit Card
INV100134,P003,USB Cable,Accessories,6,5.99,35.94,2025-12-22 15:18:00,1105,Customer_1105,Germany,PayPal
INV100135,P009,Bluetooth Speaker,Electronics,1,39.99,39.99,2025-02-15 10:16:00,1116,Customer_1116,UK,Credit Card
INV100136,P007,Monitor,Electronics,9,150.0,1350.0,2025-12-03 17:29:00,1000,Customer_1000,Canada,Credit Card
INV100137,P004,Laptop Stand,Accessories,9,35.0,315.0,2025-11-15 15:40:00,1092,Customer_1092,Canada,Credit Card
INV100138,P004,Laptop Stand,Accessories,5,35.0,175.0,2025-03-09 09:28:00,1140,Customer_1140,Germany,PayPal
INV100139,P002,Keyboard,Electronics,1,25.5,25.5,2025-11-08 07:45:00,1161,Customer_1161,USA,UPI
INV100140,P009,Bluetooth Speaker,Electronics,1,39.99,39.99,2025-07-28 02:14:00,1141,Customer_1141,India,PayPal
INV100141,P002,Keyboard,Electronics,3,25.5,76.5,2025-05-30 16:45:00,1127,Customer_1127,UK,PayPal
INV100142,P008,Power Bank,Accessories,8,29.99,239.92,2025-08-22 17:09:00,1062,Customer_1062,Canada,Debit Card
INV100143,P010,Desk Lamp,Home,9,22.5,202.5,2025-03-11 02:17:00,1191,Customer_1191,Canada,UPI
INV100144,P009,Bluetooth Speaker,Electronics,5,39.99,199.95,2025-05-25 23:19:00,1000,Customer_1000,Australia,Net Banking
INV100145,P008,Power Bank,Accessories,3,29.99,89.97,2025-10-03 15:22:00,1114,Customer_1114,UK,Net Banking
INV100146,P009,Bluetooth Speaker,Electronics,7,39.99,279.93,2025-06-14 06:44:00,1116,Customer_1116,USA,Net Banking
INV100147,P007,Monitor,Electronics,4,150.0,600.0,2025-07-30 01:20:00,1198,Customer_1198,Germany,PayPal
INV100148,P007,Monitor,Electronics,7,150.0,1050.0,2025-11-30 04:31:00,1169,Customer_1169,India,Debit Card
INV100149,P009,Bluetooth Speaker,Electronics,10,39.99,399.9,2025-02-21 14:06:00,1084,Customer_1084,Australia,PayPal
INV100150,P001,Wireless Mouse,Electronics,3,15.99,47.97,2025-12-02 04:04:00,1104,Customer_1104,Canada,UPI
INV100151,P006,Webcam,Electronics,10,55.0,550.0,2025-07-23 20:05:00,1177,Customer_1177,UK,Net Banking
INV100152,P007,Monitor,Electronics,6,150.0,900.0,2025-09-07 17:02:00,1160,Customer_1160,Australia,Credit Card
INV100153,P004,Laptop Stand,Accessories,5,35.0,175.0,2025-02-16 13:06:00,1058,Customer_1058,Germany,Credit Card
INV100154,P008,Power Bank,Accessories,3,29.99,89.97,2025-06-03 00:02:00,1177,Customer_1177,UK,Credit Card
INV100155,P005,Headphones,Electronics,6,45.99,275.94,2025-08-09 04:15:00,1095,Customer_1095,Australia,PayPal
INV100156,P010,Desk Lamp,Home,3,22.5,67.5,2025-03-31 02:39:00,1043,Customer_1043,Canada,Net Banking
INV100157,P004,Laptop Stand,Accessories,8,35.0,280.0,2025-03-15 07:29:00,1149,Customer_1149,Germany,UPI
INV100158,P008,Power Bank,Accessories,5,29.99,149.95,2025-01-05 14:57:00,1170,Customer_1170,UK,Net Banking
INV100159,P003,USB Cable,Accessories,2,5.99,11.98,2025-06-26 18:19:00,1113,Customer_1113,Germany,PayPal
INV100160,P005,Headphones,Electronics,8,45.99,367.92,2025-04-12 12:54:00,1077,Customer_1077,Canada,Credit Card
INV100161,P004,Laptop Stand,Accessories,7,35.0,245.0,2025-07-03 18:18:00,1146,Customer_1146,Germany,UPI
INV100162,P001,Wireless Mouse,Electronics,7,15.99,111.93,2025-01-05 18:55:00,1070,Customer_1070,Germany,Credit Card
INV100163,P010,Desk Lamp,Home,8,22.5,180.0,2025-04-28 19:51:00,1073,Customer_1073,UK,Debit Card
INV100164,P004,Laptop Stand,Accessories,10,35.0,350.0,2025-12-14 23:49:00,1064,Customer_1064,Germany,Debit Card
INV100165,P002,Keyboard,Electronics,1,25.5,25.5,2025-08-14 01:37:00,1079,Customer_1079,UK,Debit Card
INV100166,P002,Keyboard,Electronics,5,25.5,127.5,2025-08-01 05:12:00,1083,Customer_1083,USA,Net Banking
INV100167,P006,Webcam,Electronics,9,55.0,495.0,2025-05-20 05:16:00,1128,Customer_1128,Canada,UPI
INV100168,P006,Webcam,Electronics,2,55.0,110.0,2025-02-08 04:48:00,1119,Customer_1119,USA,PayPal
INV100169,P009,Bluetooth Speaker,Electronics,6,39.99,239.94,2025-07-22 00:16:00,1023,Customer_1023,Australia,Credit Card
INV100170,P008,Power Bank,Accessories,6,29.99,179.94,2025-12-11 08:37:00,1172,Customer_1172,Canada,UPI
INV100171,P002,Keyboard,Electronics,4,25.5,102.0,2025-01-13 19:56:00,1120,Customer_1120,Australia,UPI
INV100172,P010,Desk Lamp,Home,4,22.5,90.0,2025-02-02 20:52:00,1165,Customer_1165,Canada,UPI
INV100173,P007,Monitor,Electronics,2,150.0,300.0,2025-01-24 01:19:00,1035,Customer_1035,Canada,Credit Card
INV100174,P002,Keyboard,Electronics,4,25.5,102.0,2025-03-11 12:29:00,1137,Customer_1137,UK,Net Banking
INV100175,P007,Monitor,Electronics,10,150.0,1500.0,2025-03-21 13:41:00,1190,Customer_1190,India,PayPal
INV100176,P010,Desk Lamp,Home,7,22.5,157.5,2025-01-17 22:23:00,1071,Customer_1071,USA,PayPal
INV100177,P008,Power Bank,Accessories,4,29.99,119.96,2025-02-20 21:23:00,1092,Customer_1092,Australia,UPI
INV100178,P001,Wireless Mouse,Electronics,7,15.99,111.93,2025-04-08 03:54:00,1070,Customer_1070,Canada,Credit Card
INV100179,P004,Laptop Stand,Accessories,10,35.0,350.0,2025-01-26 10:15:00,1005,Customer_1005,USA,Net Banking
INV100180,P004,Laptop Stand,Accessories,2,35.0,70.0,2025-10-11 06:37:00,1195,Customer_1195,USA,Debit Card
INV100181,P006,Webcam,Electronics,3,55.0,165.0,2025-01-02 08:54:00,1152,Customer_1152,USA,Debit Card
INV100182,P009,Bluetooth Speaker,Electronics,5,39.99,199.95,2025-02-26 21:55:00,1044,Customer_1044,India,Debit Card
INV100183,P001,Wireless Mouse,Electronics,6,15.99,95.94,2025-10-29 10:01:00,1060,Customer_1060,USA,UPI
INV100184,P001,Wireless Mouse,Electronics,3,15.99,47.97,2025-08-04 16:07:00,1189,Customer_1189,Germany,Credit Card
INV100185,P008,Power Bank,Accessories,8,29.99,239.92,2025-07-05 16:37:00,1199,Customer_1199,India,PayPal
INV100186,P009,Bluetooth Speaker,Electronics,4,39.99,159.96,2025-01-23 23:50:00,1157,Customer_1157,Germany,Net Banking
INV100187,P005,Headphones,Electronics,8,45.99,367.92,2025-01-16 01:30:00,1164,Customer_1164,Canada,PayPal
INV100188,P002,Keyboard,Electronics,8,25.5,204.0,2025-08-16 02:57:00,1182,Customer_1182,India,UPI
INV100189,P010,Desk Lamp,Home,3,22.5,67.5,2025-03-06 08:39:00,1016,Customer_1016,Germany,Net Banking
INV100190,P009,Bluetooth Speaker,Electronics,6,39.99,239.94,2025-11-02 16:18:00,1097,Customer_1097,Canada,Net Banking
INV100191,P010,Desk Lamp,Home,7,22.5,157.5,2025-12-26 03:54:00,1025,Customer_1025,Germany,Net Banking
INV100192,P004,Laptop Stand,Accessories,7,35.0,245.0,2025-04-27 13:21:00,1115,Customer_1115,Canada,PayPal
INV100193,P007,Monitor,Electronics,2,150.0,300.0,2025-08-07 10:42:00,1080,Customer_1080,UK,UPI
INV100194,P003,USB Cable,Accessories,8,5.99,47.92,2025-02-16 02:05:00,1017,Customer_1017,Canada,Credit Card
INV100195,P006,Webcam,Electronics,3,55.0,165.0,2025-01-31 18:35:00,1142,Customer_1142,Australia,UPI
INV100196,P002,Keyboard,Electronics,7,25.5,178.5,2025-12-07 13:55:00,1090,Customer_1090,Germany,Credit Card
INV100197,P005,Headphones,Electronics,10,45.99,459.9,2025-06-30 03:36:00,1079,Customer_1079,Australia,Debit Card
INV100198,P003,USB Cable,Accessories,8,5.99,47.92,2025-02-25 11:54:00,1057,Customer_1057,Australia,UPI
INV100199,P002,Keyboard,Electronics,5,25.5,127.5,2025-04-26 13:54:00,1146,Customer_1146,Australia,Net Banking
INV100200,P010,Desk Lamp,Home,9,22.5,202.5,2025-11-08 21:53:00,1006,Customer_1006,Germany,UPI
INV100201,P001,Wireless Mouse,Electronics,3,15.99,47.97,2025-12-26 09:58:00,1069,Customer_1069,UK,UPI
INV100202,P001,Wireless Mouse,Electronics,3,15.99,47.97,2025-10-17 21:25:00,1036,Customer_1036,India,Debit Card
INV100203,P001,Wireless Mouse,Electronics,2,15.99,31.98,2025-09-29 06:24:00,1191,Customer_1191,Canada,PayPal
INV100204,P006,Webcam,Electronics,3,55.0,165.0,2025-06-09 23:20:00,1094,Customer_1094,Australia,Net Banking
INV100205,P002,Keyboard,Electronics,1,25.5,25.5,2025-03-22 19:03:00,1039,Customer_1039,Germany,Credit Card
INV100206,P005,Headphones,Electronics,8,45.99,367.92,2025-08-06 15:38:00,1169,Customer_1169,Canada,PayPal
INV100207,P005,Headphones,Electronics,4,45.99,183.96,2025-09-20 03:22:00,1193,Customer_1193,Canada,Credit Card
INV100208,P005,Headphones,Electronics,10,45.99,459.9,2025-09-27 21:19:00,1124,Customer_1124,India,Debit Card
INV100209,P007,Monitor,Electronics,10,150.0,1500.0,2025-01-04 06:19:00,1014,Customer_1014,USA,Debit Card
INV100210,P005,Headphones,Electronics,5,45.99,229.95,2025-03-03 00:31:00,1083,Customer_1083,Germany,PayPal
INV100211,P003,USB Cable,Accessories,3,5.99,17.97,2025-09-30 22:14:00,1097,Customer_1097,Australia,Net Banking
INV100212,P006,Webcam,Electronics,2,55.0,110.0,2025-01-22 13:01:00,1101,Customer_1101,Canada,Credit Card
INV100213,P006,Webcam,Electronics,10,55.0,550.0,2025-10-21 12:45:00,1109,Customer_1109,Germany,PayPal
INV100214,P005,Headphones,Electronics,2,45.99,91.98,2025-01-11 10:10:00,1103,Customer_1103,Australia,PayPal
INV100215,P006,Webcam,Electronics,2,55.0,110.0,2025-02-24 07:27:00,1111,Customer_1111,Australia,PayPal
INV100216,P009,Bluetooth Speaker,Electronics,2,39.99,79.98,2025-06-08 23:21:00,1101,Customer_1101,USA,UPI
INV100217,P003,USB Cable,Accessories,2,5.99,11.98,2025-11-21 03:33:00,1130,Customer_1130,Australia,Debit Card
INV100218,P006,Webcam,Electronics,6,55.0,330.0,2025-11-27 04:15:00,1186,Customer_1186,India,Debit Card
INV100219,P005,Headphones,Electronics,4,45.99,183.96,2025-11-05 04:48:00,1044,Customer_1044,Germany,Credit Card
INV100220,P003,USB Cable,Accessories,8,5.99,47.92,2025-10-16 18:28:00,1118,Customer_1118,Germany,Net Banking
INV100221,P010,Desk Lamp,Home,6,22.5,135.0,2025-06-11 04:28:00,1160,Customer_1160,India,PayPal
INV100222,P008,Power Bank,Accessories,5,29.99,149.95,2025-10-30 01:22:00,1070,Customer_1070,Australia,Credit Card
INV100223,P005,Headphones,Electronics,8,45.99,367.92,2025-01-20 01:23:00,1115,Customer_1115,UK,Credit Card
INV100224,P002,Keyboard,Electronics,10,25.5,255.0,2025-09-17 12:29:00,1152,Customer_1152,Australia,Net Banking
